parent_skill_id,parent_label,prompt_mode,variant,candidate_pool_size,final_k,selected_count,selected_candidates,duplicate_count,invalid_count,unaligned_count,plausible_novel_count,hallucination_count,semantic_precision,semantic_recall,semantic_f1,hier_precision,hier_recall,hier_f1
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,zero,baseline,10,5,5,"[""Communication interpersonnelle"", ""Gestion du temps"", ""Esprit critique"", ""Adaptabilité au changement"", ""Travail en équipe""]",0,9,0,0,0,0.5230436325073242,0.4358696937561035,0.47549421137029474,0.5,0.4166666666666667,0.45454545454545453
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,zero,validation,10,5,1,"[""Communication interpersonnelle""]",0,9,0,0,0,0.6339300870895386,0.1056550145149231,0.18112288202558244,0.5,0.08333333333333333,0.14285714285714285
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,zero,validation_rerank,10,5,1,"[""Communication interpersonnelle""]",0,9,0,0,0,0.6339300870895386,0.1056550145149231,0.18112288202558244,0.5,0.08333333333333333,0.14285714285714285
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,zero,soft_validation,10,5,5,"[""Communication interpersonnelle"", ""Gestion du temps"", ""Esprit critique"", ""Adaptabilité au changement"", ""Travail en équipe""]",0,9,0,0,0,0.5230436325073242,0.4358696937561035,0.47549421137029474,0.5,0.4166666666666667,0.45454545454545453
http://www.gamaizer.ai/cmo/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e,aptitudes et compétences transversales,zero,soft_validation_rerank,10,5,5,"[""Travail en équipe"", ""Communication interpersonnelle"", ""Adaptabilité au changement"", ""Résolution de problèmes"", ""Esprit critique""]",0,9,0,0,0,0.5038980007171631,0.4199150005976359,0.45808909156105737,0.5,0.4166666666666667,0.45454545454545453
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,zero,baseline,10,5,5,"[""Résolution de problèmes"", ""Communication interpersonnelle"", ""Gestion du temps"", ""Esprit critique"", ""Adaptabilité""]",0,9,0,0,0,0.5463310241699219,0.34145689010620117,0.420254633976863,0.5,0.3125,0.38461538461538464
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,zero,validation,10,5,1,"[""Prise de décision""]",0,9,0,0,0,0.40069347620010376,0.05008668452501297,0.08904299471113417,0.5,0.0625,0.1111111111111111
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,zero,validation_rerank,10,5,1,"[""Prise de décision""]",0,9,0,0,0,0.40069347620010376,0.05008668452501297,0.08904299471113417,0.5,0.0625,0.1111111111111111
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,zero,soft_validation,10,5,5,"[""Résolution de problèmes"", ""Communication interpersonnelle"", ""Gestion du temps"", ""Esprit critique"", ""Adaptabilité""]",0,9,0,0,0,0.5463310241699219,0.34145689010620117,0.420254633976863,0.5,0.3125,0.38461538461538464
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,zero,soft_validation_rerank,10,5,5,"[""Résolution de problèmes"", ""Esprit critique"", ""Travail en équipe"", ""Créativité"", ""Négociation""]",0,9,0,0,0,0.5003554344177246,0.3127221465110779,0.38488879570594203,0.5,0.3125,0.38461538461538464
